,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MONEY
0,-1.0,-0.64,-0.8643695014662757,-1.0,-0.3703703703703707,0.15501053841732126,0.2832131822863029,-0.4615937218670717,-1.0,-0.583969465648855,-0.42553191489361686,1.0,-0.8206401766004414,-0.15555555555555556
1,-0.9995281549216432,-1.0,-0.5153958944281525,-1.0,-0.6543209876543211,0.09599540141789631,0.5653964984552009,-0.30207603961116314,-0.9130434782608696,-0.7900763358778626,0.10638297872340452,1.0,-0.5910596026490067,-0.26222222222222213
2,-0.9995286045119989,-1.0,-0.5153958944281525,-1.0,-0.6543209876543211,0.38877179536309625,0.1987641606591144,-0.30207603961116314,-0.9130434782608696,-0.7900763358778626,0.10638297872340452,0.9794745070351505,-0.8730684326710817,0.32000000000000006
3,-0.9994144085616391,-1.0,-0.873900293255132,-1.0,-0.6995884773662553,0.31711055757807993,-0.11637487126673529,-0.10291082032209076,-0.8260869565217391,-0.866412213740458,0.2978723404255319,0.9885521206313985,-0.9332229580573952,0.26222222222222213
4,-0.9985898598491985,-1.0,-0.873900293255132,-1.0,-0.6995884773662553,0.37420961870090075,0.05664263645726075,-0.10291082032209076,-0.8260869565217391,-0.866412213740458,0.2978723404255319,1.0,-0.8013245033112583,0.3866666666666667
5,-0.9994710569464632,-1.0,-0.873900293255132,-1.0,-0.6995884773662553,0.09944433799578456,0.14933058702368718,-0.10291082032209076,-0.8260869565217391,-0.866412213740458,0.2978723404255319,0.9859801301124618,-0.8079470198675497,0.05333333333333323
6,-0.9981573539269695,-0.75,-0.45674486803519054,-1.0,-0.42798353909465014,-0.0607396052883693,0.31204943357363546,-0.19415471632914727,-0.6521739130434783,-0.5267175572519084,-0.44680851063829796,0.9934439457360433,-0.4094922737306844,-0.20444444444444454
7,-0.9968926562562521,-0.75,-0.45674486803519054,-1.0,-0.42798353909465014,0.0005748227629815972,0.9196704428424303,-0.12322563631568895,-0.6521739130434783,-0.5267175572519084,-0.44680851063829796,1.0,-0.03863134657836664,-0.01777777777777767
8,-0.9953934972150126,-0.75,-0.45674486803519054,-1.0,-0.42798353909465014,-0.20674458708564858,1.0,-0.09929161854704516,-0.6521739130434783,-0.5267175572519084,-0.44680851063829796,0.9482071713147411,0.5562913907284768,-0.48888888888888893
9,-0.9963196533478521,-0.75,-0.45674486803519054,-1.0,-0.42798353909465014,-0.06380532669093719,0.7095777548918643,-0.006538206221753384,-0.6521739130434783,-0.5267175572519084,-0.44680851063829796,0.9486106208079077,-0.15176600441501098,-0.38222222222222224
10,-0.995086651797215,-0.75,-0.45674486803519054,-1.0,-0.42798353909465014,0.07913393370377486,0.88259526261586,-0.051168965799452515,-0.6521739130434783,-0.5267175572519084,-0.44680851063829796,0.9779111402491301,0.0331125827814569,-0.5555555555555556
11,-0.997501401597934,-0.75,-0.45674486803519054,-1.0,-0.42798353909465014,-0.0618892508143325,0.6477857878475799,-0.07299329811128585,-0.6521739130434783,-0.5267175572519084,-0.44680851063829796,1.0,-0.36313465783664467,-0.38222222222222224
12,-0.9980339413743168,-0.75,-0.45674486803519054,-1.0,-0.42798353909465014,-0.10787507185284562,-0.25643666323377956,-0.21408760650728842,-0.6521739130434783,-0.5267175572519084,-0.44680851063829796,0.9677240405466743,-0.22847682119205304,-0.2577777777777778
